"","date","A","B","C","D","E","F","G","H","I","J","K","L","M","N","O","P","Q","R","S","T","U","V","W","X","Y","Z"
"1",2024-05-01,"bad","soso","soso","soso","soso","bad","ok","ok","bad","bad","ok","soso","bad","bad","ok","soso","bad","ok","soso","bad","soso","soso","ok","bad","bad","ok"
"2",2024-05-02,"ok","ok","ok","bad","ok","ok","ok","soso","bad","ok","soso","soso","bad","ok","bad","soso","bad","bad","ok","soso","soso","ok","soso","soso","bad","ok"
"3",2024-05-03,"bad","soso","soso","ok","bad","bad","bad","ok","bad","soso","bad","bad","ok","ok","ok","soso","bad","ok","soso","bad","bad","bad","ok","soso","ok","bad"
"4",2024-05-04,"bad","soso","bad","ok","soso","ok","ok","bad","bad","bad","bad","soso","bad","soso","bad","bad","bad","soso","bad","bad","ok","ok","ok","soso","bad","bad"
"5",2024-05-05,"soso","ok","ok","bad","soso","soso","bad","bad","bad","ok","ok","soso","ok","bad","soso","soso","soso","bad","bad","ok","soso","bad","bad","bad","ok","soso"
"6",2024-05-06,"bad","bad","soso","bad","bad","bad","soso","ok","ok","bad","ok","ok","bad","ok","ok","soso","bad","soso","bad","soso","bad","bad","bad","bad","ok","bad"
"7",2024-05-07,"ok","soso","soso","bad","soso","soso","soso","bad","ok","ok","bad","bad","soso","bad","soso","ok","bad","ok","soso","bad","soso","ok","bad","bad","bad","soso"
"8",2024-05-08,"bad","bad","ok","bad","bad","ok","soso","bad","soso","bad","soso","soso","bad","soso","bad","soso","bad","ok","ok","ok","soso","bad","bad","bad","ok","bad"
"9",2024-05-09,"soso","bad","ok","bad","ok","bad","ok","bad","bad","soso","soso","soso","bad","ok","ok","bad","bad","ok","soso","soso","ok","soso","bad","ok","ok","soso"
"10",2024-05-10,"soso","bad","ok","soso","bad","soso","soso","soso","soso","bad","bad","ok","soso","ok","ok","soso","soso","ok","bad","bad","bad","bad","soso","bad","ok","bad"
"11",2024-05-11,"bad","ok","soso","bad","bad","soso","bad","bad","soso","bad","soso","bad","bad","soso","soso","bad","soso","ok","ok","bad","bad","bad","ok","bad","ok","bad"
"12",2024-05-12,"bad","ok","ok","bad","ok","bad","bad","ok","bad","soso","ok","ok","bad","bad","ok","ok","bad","ok","ok","ok","bad","bad","soso","bad","soso","bad"
"13",2024-05-13,"bad","ok","soso","soso","ok","soso","soso","bad","soso","bad","bad","bad","ok","bad","bad","bad","ok","soso","bad","bad","soso","ok","bad","soso","bad","ok"
"14",2024-05-14,"ok","bad","soso","soso","soso","bad","ok","ok","soso","ok","soso","bad","soso","ok","bad","bad","soso","bad","ok","soso","ok","soso","soso","bad","bad","ok"
"15",2024-05-15,"soso","soso","soso","ok","ok","bad","ok","soso","soso","ok","bad","ok","bad","ok","soso","soso","bad","soso","ok","soso","bad","bad","ok","bad","ok","soso"
"16",2024-05-16,"bad","bad","soso","bad","bad","ok","bad","ok","ok","ok","ok","bad","bad","soso","soso","ok","ok","ok","bad","bad","ok","ok","ok","bad","soso","bad"
"17",2024-05-17,"soso","bad","bad","ok","bad","soso","bad","bad","soso","ok","soso","bad","bad","ok","ok","soso","bad","ok","bad","ok","soso","ok","soso","ok","ok","ok"
"18",2024-05-18,"ok","soso","bad","bad","bad","soso","bad","bad","bad","bad","ok","bad","bad","soso","bad","soso","bad","bad","ok","bad","bad","ok","soso","ok","ok","soso"
"19",2024-05-19,"soso","soso","bad","bad","bad","soso","ok","bad","bad","bad","bad","ok","ok","bad","bad","ok","ok","bad","soso","bad","bad","bad","ok","ok","soso","bad"
"20",2024-05-20,"soso","ok","ok","bad","bad","soso","soso","ok","ok","bad","ok","bad","bad","soso","soso","soso","soso","bad","soso","bad","bad","soso","ok","ok","soso","ok"
"21",2024-05-21,"soso","bad","soso","bad","bad","bad","bad","bad","ok","bad","soso","ok","bad","soso","ok","ok","bad","soso","ok","soso","ok","bad","soso","bad","ok","bad"
"22",2024-05-22,"bad","bad","soso","ok","bad","ok","bad","bad","bad","ok","ok","ok","ok","ok","soso","ok","ok","bad","ok","soso","soso","soso","bad","soso","ok","soso"
"23",2024-05-23,"bad","ok","soso","ok","soso","bad","soso","ok","bad","ok","bad","bad","ok","soso","bad","soso","bad","ok","ok","ok","bad","bad","ok","soso","soso","bad"
"24",2024-05-24,"ok","ok","bad","ok","ok","soso","soso","soso","bad","bad","bad","ok","bad","soso","bad","ok","bad","ok","bad","ok","bad","ok","bad","bad","soso","soso"
"25",2024-05-25,"soso","bad","ok","soso","soso","ok","bad","soso","ok","soso","bad","soso","ok","ok","ok","soso","soso","soso","bad","bad","ok","bad","bad","ok","ok","ok"
"26",2024-05-26,"bad","ok","ok","bad","bad","bad","bad","bad","soso","soso","ok","soso","soso","soso","soso","bad","soso","bad","ok","ok","ok","bad","ok","bad","bad","soso"
"27",2024-05-27,"ok","ok","ok","soso","bad","ok","bad","bad","bad","ok","soso","bad","bad","ok","bad","soso","ok","soso","bad","ok","ok","soso","ok","bad","soso","ok"
"28",2024-05-28,"soso","bad","bad","soso","bad","bad","ok","soso","soso","bad","bad","bad","soso","bad","soso","ok","bad","bad","bad","bad","bad","bad","soso","soso","ok","bad"
"29",2024-05-29,"soso","soso","soso","ok","ok","ok","bad","bad","soso","soso","bad","bad","soso","bad","soso","bad","bad","bad","bad","bad","ok","ok","ok","ok","bad","soso"
"30",2024-05-30,"soso","ok","soso","bad","bad","bad","soso","ok","bad","bad","ok","bad","soso","bad","soso","bad","bad","bad","bad","soso","bad","soso","soso","bad","soso","soso"
"31",2024-05-31,"bad","ok","ok","bad","ok","bad","bad","ok","bad","soso","bad","ok","ok","ok","soso","soso","soso","bad","ok","bad","soso","soso","soso","bad","ok","bad"
